specialty,keyword_list,count
 Allergy / Immunology,allergy / immunology,3
 Allergy / Immunology,ad lib,1
 Allergy / Immunology,allegra,1
 Allergy / Immunology,allergic,1
 Allergy / Immunology,allergic rhinitis,1
 Allergy / Immunology,allergies,1
 Allergy / Immunology,allergy,1
 Allergy / Immunology,aspirin,1
 Allergy / Immunology,asthma,1
 Allergy / Immunology,chronic glossitis,1
 Bariatrics,bariatrics,18
 Bariatrics,gastric bypass,11
 Bariatrics,weight loss,9
 Bariatrics,laparoscopic,6
 Bariatrics,medifast,6
 Bariatrics,bypass,5
 Bariatrics,gastric,5
 Bariatrics,loss,5
 Bariatrics,weight,5
 Bariatrics,laparoscopic gastric bypass,4
 Cardiovascular / Pulmonary,cardiovascular / pulmonary,275
 Cardiovascular / Pulmonary,artery,47
 Cardiovascular / Pulmonary,chest,38
 Cardiovascular / Pulmonary,coronary,37
 Cardiovascular / Pulmonary,stenosis,31
 Cardiovascular / Pulmonary,catheterization,30
 Cardiovascular / Pulmonary,bronchoscopy,29
 Cardiovascular / Pulmonary,ventricular,28
 Cardiovascular / Pulmonary,angiography,27
 Cardiovascular / Pulmonary,coronary artery,27
 Chiropractic,chiropractic,3
 Chiropractic,ankle,1
 Chiropractic,annular bulging,1
 Chiropractic,apophyseal joint arthrosis,1
 Chiropractic,arthrosis,1
 Chiropractic,bulging,1
 Chiropractic,calcaneocuboid joint,1
 Chiropractic,canal,1
 Chiropractic,central canal,1
 Chiropractic,central disc,1
 Consult - History and Phy.,consult - history and phy.,198
 Consult - History and Phy.,hypertension,12
 Consult - History and Phy.,weight,12
 Consult - History and Phy.,dietary,11
 Consult - History and Phy.,weight loss,11
 Consult - History and Phy.,diabetes,9
 Consult - History and Phy.,gastric bypass,8
 Consult - History and Phy.,swelling,8
 Consult - History and Phy.,dietary consultation,7
 Consult - History and Phy.,infection,7
 Cosmetic / Plastic Surgery,cosmetic / plastic surgery,25
 Cosmetic / Plastic Surgery,breast,8
 Cosmetic / Plastic Surgery,blepharoplasty,5
 Cosmetic / Plastic Surgery,prepped and draped,5
 Cosmetic / Plastic Surgery,mammoplasty,4
 Cosmetic / Plastic Surgery,nipple,4
 Cosmetic / Plastic Surgery,areolar,3
 Cosmetic / Plastic Surgery,hypertrophy,3
 Cosmetic / Plastic Surgery,lipectomy,3
 Cosmetic / Plastic Surgery,lipodystrophy,3
 Dentistry,dentistry,24
 Dentistry,throat pack,9
 Dentistry,dental,8
 Dentistry,mandible,8
 Dentistry,teeth,8
 Dentistry,extraction,6
 Dentistry,tooth,6
 Dentistry,abscess,5
 Dentistry,mandibular,5
 Dentistry,dental caries,4
 Dermatology,dermatology,24
 Dermatology,punch biopsy,4
