specialty,count
 Surgery,1066
 Consult - History and Phy.,475
 Cardiovascular / Pulmonary,368
 Orthopedic,339
 Radiology,272
 General Medicine,232
 Gastroenterology,219
 Neurology,217
 SOAP / Chart / Progress Notes,165
 Obstetrics / Gynecology,154
 Urology,152
 Discharge Summary,105
 ENT - Otolaryngology,95
 Neurosurgery,94
 Hematology - Oncology,89
 Ophthalmology,83
 Nephrology,81
 Emergency Room Reports,75
 Pediatrics - Neonatal,68
 Pain Management,59
 Podiatry,46
 Psychiatry / Psychology,46
 Dermatology,28
 Cosmetic / Plastic Surgery,27
 Dentistry,27
 Office Notes,22
 Letters,21
 Physical Medicine - Rehab,21
 Sleep Medicine,20
 Endocrinology,19
 Bariatrics,18
 IME-QME-Work Comp etc.,13
 Diets and Nutritions,10
 Rheumatology,10
 Chiropractic,9
 Speech - Language,9
 Lab Medicine - Pathology,8
 Allergy / Immunology,7
 Hospice - Palliative Care,6
