word,count
patient,22878
right,10664
left,10593
history,8718
procedure,7589
placed,6676
normal,6099
pain,5115
year,4542
time,4521
diagnosis,4318
mg,4023
blood,3788
noted,3757
incision,3720
performed,3647
anesthesia,3586
room,3402
skin,3363
removed,3348
old,3335
x,3311
artery,3072
area,2885
day,2882
suture,2873
general,2832
anterior,2730
taken,2691
present,2585
medication,2574
extremity,2494
past,2425
position,2417
tissue,2355
chest,2321
dr,2313
pressure,2303
fashion,2266
mm,2246
disease,2232
cm,2219
lower,2210
closed,2197
upper,2157
operating,2106
surgery,2102
vicryl,2084
obtained,2070
postoperative,2064
posterior,2062
good,2049
preoperative,2043
lateral,2001
medical,1979
mass,1961
neck,1947
given,1944
significant,1943
approximately,1936
week,1918
abdomen,1905
condition,1903
catheter,1875
clear,1871
heart,1867
sterile,1863
muscle,1847
evidence,1831
wound,1800
stable,1794
complication,1790
exam,1789
small,1777
examination,1764
level,1763
prepped,1755
sign,1750
lesion,1745
finding,1742
nerve,1735
risk,1716
plan,1677
draped,1674
denies,1667
tube,1665
care,1648
mild,1634
loss,1633
family,1624
seen,1614
distal,1601
coronary,1583
needle,1566
prior,1558
identified,1555
brought,1555
symptom,1547
head,1545
rate,1543
negative,1539
bilateral,1536
intact,1528
bilaterally,1504
surgical,1487
bleeding,1482
bone,1470
system,1458
allergy,1452
showed,1446
eye,1436
hospital,1429
dissection,1429
soft,1414
female,1405
point,1405
acute,1405
bladder,1391
change,1390
tolerated,1376
month,1375
state,1339
site,1331
foot,1330
abdominal,1321
pulse,1308
daily,1305
proximal,1298
discussed,1295
difficulty,1293
fascia,1286
found,1282
knee,1281
bowel,1278
medial,1278
chronic,1277
vein,1277
today,1271
use,1260
status,1260
minute,1256
illness,1246
applied,1243
lung,1241
iv,1236
problem,1226
hemostasis,1223
cervical,1215
recovery,1208
treatment,1205
weight,1186
home,1179
evaluation,1169
fluid,1163
count,1158
discharge,1157
po,1152
ml,1152
joint,1133
place,1125
revealed,1123
usual,1122
biopsy,1122
indication,1109
post,1103
aspect,1101
subcutaneous,1099
large,1090
fracture,1088
following,1087
review,1082
hour,1080
infection,1079
second,1079
end,1079
ligament,1072
supine,1065
male,1061
ray,1058
renal,1058
total,1057
need,1053
multiple,1052
inserted,1047
severe,1045
complaint,1043
consent,1042
regular,1039
femoral,1035
cc,1027
white,1024
physical,1011
impression,1010
vital,1009
including,1006
unremarkable,996
pulmonary,990
operative,986
ct,984
carried,984
stenosis,982
detail,975
portion,975
tumor,974
wall,972
running,967
ago,963
appropriate,959
secondary,955
inferior,951
having,950
space,950
vessel,950
nasal,944
tendon,935
edema,932
interrupted,931
positive,928
social,926
body,925
endotracheal,922
irrigated,918
followed,910
follow,902
breast,901
able,900
cord,899
estimated,892
report,888
midline,888
elevated,886
antibiotic,885
leg,885
respiratory,878
therapy,876
low,876
region,874
course,873
emergency,871
study,870
wire,867
screw,867
hypertension,866
previous,863
table,862
size,860
french,860
blade,859
possible,855
operation,855
drug,855
scan,855
cancer,854
dressing,853
fever,850
arm,847
superior,845
sinus,838
high,836
cardiac,836
attention,834
sent,833
disc,833
unit,832
free,832
benefit,828
appeared,820
dissected,820
cell,816
rhythm,814
moderate,810
mother,810
lobe,806
breath,798
felt,791
heent,787
mri,786
spine,783
port,781
admitted,778
carotid,772
degree,771
external,771
informed,764
age,763
shoulder,759
placement,754
sheath,751
sound,745
advanced,745
assessment,744
continue,744
injury,742
adequate,740
show,735
developed,733
note,732
flap,732
increased,732
local,732
diabetes,726
type,725
minimal,722
layer,721
specimen,721
started,717
ear,715
ventricular,714
saline,713
deep,712
admission,709
currently,707
technique,707
underwent,707
internal,702
current,701
transverse,701
drain,700
motion,698
injected,698
atrial,696
spinal,695
decreased,690
distress,689
activity,686
transferred,686
test,682
graft,679
dorsal,677
cut,673
alert,672
pound,670
alcohol,667
consistent,666
valve,665
murmur,663
subsequently,662
passed,658
colon,657
weakness,657
hand,655
temperature,654
turned,654
headache,653
nontender,652
sleep,649
lidocaine,649
office,648
branch,648
vomiting,647
aortic,647
open,646
appears,643
ankle,640
nausea,639
range,637
closure,632
cavity,631
description,630
visualized,629
motor,626
known,624
hip,623
swelling,621
complete,619
air,619
urine,615
liver,615
lumbar,615
recent,614
electrocautery,613
tourniquet,611
reason,609
uterus,609
reviewed,608
additional,608
case,607
laboratory,607
repair,606
work,605
base,605
long,600
brain,599
followup,598
oral,596
anesthetic,594
discharged,593
child,591
question,591
like,589
line,589
shortness,587
injection,587
kidney,584
length,583
canal,582
stent,581
hernia,580
department,579
continued,579
solution,579
sedation,578
morning,575
result,574
direct,573
function,572
return,570
light,568
image,568
movement,567
contrast,564
abnormality,562
received,559
quadrant,557
satisfactory,556
pathology,555
treated,554
carefully,554
removal,554
failure,553
scissors,552
presented,551
node,551
tenderness,550
clamp,548
mid,547
chief,543
night,541
sponge,541
reveals,539
episode,539
middle,538
taking,534
administered,529
excellent,526
unlabeled,526
surface,524
proceed,523
culture,523
tip,522
thyroid,513
stitch,511
pelvis,510
limit,509
marcaine,507
dose,506
clinic,506
associated,504
going,502
ultrasound,502
block,501
dry,501
vision,500
unable,494
opened,491
control,490
feel,490
supple,489
plate,489
life,486
scope,486
correct,486
descending,484
visualization,483
syndrome,481
active,480
edge,480
greater,480
laterally,479
carpal,477
oriented,475
central,475
strength,475
initially,474
flow,473
recurrent,473
slightly,472
data,472
vascular,471
prn,469
bovie,468
subcuticular,468
sharp,467
view,466
previously,465
auscultation,464
process,464
bid,463
venous,463
field,462
diet,461
tear,461
mucosa,460
resection,459
common,459
non,459
abnormal,458
completed,456
pupil,454
secured,454
round,453
rest,451
xyz,450
achieved,450
primary,449
root,448
cuff,448
grade,447
equal,446
prostate,446
metatarsal,446
membrane,445
likely,445
compression,444
stomach,443
uterine,443
pelvic,442
visit,440
better,440
